Date,Open,Close
30/04/2018,173.789993,172
01/05/2018,172,173.860001
02/05/2018,174.25,176.070007
03/05/2018,175.130005,174.020004
04/05/2018,173.080002,176.610001
07/05/2018,177.350006,177.970001
08/05/2018,178.25,178.919998
09/05/2018,179.669998,182.660004
10/05/2018,183.149994,185.529999
11/05/2018,184.850006,186.990005
14/05/2018,187.710007,186.639999
15/05/2018,184.880005,184.320007
16/05/2018,183.699997,183.199997
17/05/2018,182.679993,183.759995
18/05/2018,183.490005,182.679993
21/05/2018,183.770004,184.490005
22/05/2018,184.929993,183.800003
23/05/2018,182.5,186.899994
24/05/2018,185.880005,185.929993
25/05/2018,186.020004,184.919998
