Date,Open,Close
30/04/2018,293.609985,293.899994
01/05/2018,293.51001,299.920013
02/05/2018,298.570007,301.149994
03/05/2018,278.790009,284.450012
04/05/2018,283,294.089996
07/05/2018,297.5,302.769989
08/05/2018,300.799988,301.970001
09/05/2018,300.410004,306.850006
10/05/2018,307.5,305.019989
11/05/2018,307.700012,301.059998
14/05/2018,303.320007,291.970001
15/05/2018,285.01001,284.179993
16/05/2018,283.829987,286.480011
17/05/2018,285.899994,284.540009
18/05/2018,284.649994,276.820007
21/05/2018,281.329987,284.48999
22/05/2018,287.76001,275.01001
23/05/2018,277.76001,279.070007
24/05/2018,278.399994,277.850006
25/05/2018,277.630005,278.850006
