Date,Close Price
28/05/2018 19:00,528.33
28/05/2018 19:05,527.35
28/05/2018 19:10,526.45
28/05/2018 19:15,526.55
28/05/2018 19:20,527.31
28/05/2018 19:25,527.46
28/05/2018 19:30,527.59
28/05/2018 19:35,527.62
28/05/2018 19:40,527.84
28/05/2018 19:45,529.02
28/05/2018 19:50,529.39
28/05/2018 19:55,531.11
28/05/2018 20:00,531.45
28/05/2018 20:05,531.04
28/05/2018 20:10,530.63
28/05/2018 20:15,530.44
28/05/2018 20:20,530.45
28/05/2018 20:25,529.99
28/05/2018 20:30,529.17
28/05/2018 20:35,529.44
28/05/2018 20:40,529.25
28/05/2018 20:45,529.56
28/05/2018 20:50,528.79
28/05/2018 20:55,528.25
28/05/2018 21:00,527.08
28/05/2018 21:05,527.53
28/05/2018 21:10,527.24
28/05/2018 21:15,525.99
28/05/2018 21:20,524.62
28/05/2018 21:25,523.84
28/05/2018 21:30,522.92
28/05/2018 21:35,522.33
28/05/2018 21:40,522.31
28/05/2018 21:45,522.65
28/05/2018 21:50,522.65
28/05/2018 21:55,522.65
28/05/2018 22:00,522.65
28/05/2018 22:05,522.65
28/05/2018 22:10,522.65
28/05/2018 22:15,522.65
28/05/2018 22:20,522.65
28/05/2018 22:25,516.98
28/05/2018 22:30,514.96
28/05/2018 22:35,512.55
28/05/2018 22:40,512.75
28/05/2018 22:45,514.94
28/05/2018 22:50,515.71
28/05/2018 22:55,516.24
28/05/2018 23:00,516.3
28/05/2018 23:05,516.66
28/05/2018 23:10,518.16
28/05/2018 23:15,518.77
28/05/2018 23:20,519.05
28/05/2018 23:25,518.92
28/05/2018 23:30,518.75
28/05/2018 23:35,517.89
28/05/2018 23:40,517.88
28/05/2018 23:45,518.08
28/05/2018 23:50,517.48
28/05/2018 23:55,516.89
