Date,Open,Close
30/04/2018,45.66,45.669998
01/05/2018,45.389999,45.950001
02/05/2018,45.889999,45.509998
03/05/2018,45.360001,45.060001
04/05/2018,44.93,45.709999
07/05/2018,45.939999,46.07
08/05/2018,45.880001,45.939999
09/05/2018,46.23,46.580002
10/05/2018,46.799999,46.93
11/05/2018,47.110001,46.82
14/05/2018,46.810001,46.82
15/05/2018,46.509998,46.810001
16/05/2018,46.93,46.73
17/05/2018,46.689999,46.540001
18/05/2018,46.689999,46.32
21/05/2018,46.529999,47.209999
22/05/2018,47.240002,46.369999
23/05/2018,46.080002,46.900002
24/05/2018,46.66,46.459999
25/05/2018,46.490002,47
