Date,Open,Close
30/04/2018,1034.420044,1018.580017
01/05/2018,1016.299988,1040.75
02/05/2018,1034,1026.050049
03/05/2018,1025.369995,1026.300049
04/05/2018,1019.609985,1051
07/05/2018,1053.890015,1059.459961
08/05/2018,1064.619995,1058.589966
09/05/2018,1064.099976,1088.949951
10/05/2018,1095,1105.469971
11/05/2018,1100.410034,1103.380005
14/05/2018,1105.569946,1106.599976
15/05/2018,1096.900024,1084.869995
16/05/2018,1085.089966,1084.089966
17/05/2018,1081.459961,1081.26001
18/05/2018,1066,1069.640015
21/05/2018,1079,1084.01001
22/05/2018,1089.800049,1075.310059
23/05/2018,1070,1085.959961
24/05/2018,1086.900024,1085.449951
25/05/2018,1086.550049,1084.079956
