Date,Open,Close
30/04/2018,17.34,17.049999
01/05/2018,16.99,17.18
02/05/2018,17.139999,17.120001
03/05/2018,16.99,16.9
04/05/2018,16.85,17.209999
07/05/2018,17.24,17.299999
08/05/2018,17.25,17.389999
09/05/2018,17.4,17.6
10/05/2018,17.67,17.65
11/05/2018,17.66,17.67
14/05/2018,17.75,17.59
15/05/2018,17.48,17.4
16/05/2018,17.41,17.629999
17/05/2018,17.68,17.67
18/05/2018,17.66,17.559999
21/05/2018,17.66,17.51
22/05/2018,17.549999,17.41
23/05/2018,16.85,15.58
24/05/2018,15.55,15.76
25/05/2018,15.75,15.52
